ID,Grupo,Área,"Nombre del
Activo",Descripción del Activo,Formato,Serie / Subserie,El activo de información está relacionado con el manejo de recursos de origen gubernamental,"Idioma de la información
(o tecnología asociada)","Fecha de generación del
activo de información",Fecha de determinación de clasificación de sensibilidad (y transparencia),Fecha de última revisión y actualización,Duración (años) status de clasificado o reservado,Dias transcurridos desde la última revisión,"Propietario (responsable) del activo 
(área o cargo)","Custodio del
Activo",Localización del Activo,Plazo de la Clasificacion o la Reserva
13,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Bloomberg,Equipo de computo donde se encuentra instalado el software para la Visualización Del Mercado; Mercado De Valores; Evolución De Variables Financieras; Actualización Variables Económicas,Software,No Aplica: Sistema De Información O Software,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Bloomberg,,Maximo que determine la ley
15,VP Credito y Riesgos,Dirección Socio ambiental,FR-ASG-14 Evaluación Inicial Ambiental Y Social,"Documento que Incluye La Descripción del Proyecto Objeto De Financiación, del cliente, resultado de la consulta de Bases De Datos De Infractores Ambientales Y Concepto Sobre La Categoría De Riesgo Ambiental Y Social.",Docx / PDF,Registros Eventos De Riesgos Operativos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección Socio Ambiental,Vicepresindencia Finanzas Estructuradas,Pegaso,Maximo que determine la ley
16,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Arqueo,Validación De Los Títulos Que Reposan En Los Aplicativos (PORFIN y Deceval)  Internos Respecto A Los Reportados Por Los Custodios De Títulos,Xls,Actas / Actas De Arqueo De Títulos Valores,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\ARQUEO,Maximo que determine la ley
17,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Cartera,Contiene información detallada de la cartera de créditos otorgados descargada de SAP a las fechas de corte pertinentes,Xls,Informes / Informes Consolidados De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PROVISIONES,Maximo que determine la ley
18,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Composición Detalle De Cartera (ARC),"Monitorear El Detalle De La Cartera, contingentes, provisiones y saldos",Xls,Informes / Informes Consolidados De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PROVISIONES,Maximo que determine la ley
19,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Composición Portafolio,Verificación Del Consumo De Límites De Inversión,Xls,Informes /  Informes De Riesgo De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver: \\FDNFS\Riesgos\SARM\PORTAFOLIO\,Maximo que determine la ley
20,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Concentración 10% Patrimonio Técnico,Revelación De Las Exposiciones De Crédito Superiores A 10% Del Patrimonio Técnico,Xls /Docx /PDF,Registros Eventos De Riesgos Operativos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver:\\FDNFS\Riesgos\Riesgo Crédito\SARC\SUPER FINANCIERA\FORMATO 10% P,Maximo que determine la ley
21,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Consolidación De Sponsors,Presenta la consolidación por limites de riesgo de crédito de la FDN,Xls /Docx /PDF,Informes /  Informes De Riesgo De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PROVISIONES,Maximo que determine la ley
22,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Herramienta de riesgos ALM,"Documento en excel donde se encuentra el resumen Del Estado General De La Cartera, Portafolio y pasivo por tipo de tasa para medir riesgos estructurales",Xlsb,Informes / Informes De Cartera Comercial,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver: \\FDNFS\Riesgos\SARE,Maximo que determine la ley
23,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Fondos De Capital Privado,Consumo De Cupo En Fondos De Capital Privado,Xls /Docx /PDF,Registros Operaciones De Tesoreria,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PROVISIONES,Maximo que determine la ley
24,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Reportes De Información Bajo Estándares Xbrl,Análisis de información de riesgo de mercado y riesgo de liquidez bajo el estandar Xbrl,Xls,Registros Operaciones De Creditos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver: \\FDNFS\Riesgos\SARL\Riesgo de Liquidez\,Maximo que determine la ley
25,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Indicador Cobertura Líquidez (Política de liquidez),Cálculo Del Monto De Liquidez Mínimo Que La Fdn Debe Mantener En Activos Líquidos Para Atender Sus Compromisos De 1 Mes,Xlsb,"Informes / Informes De Riesgos De Liquidez(1,2)",No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver:\\FDNFS\Riesgos\SARL\Política de Liquidez,Maximo que determine la ley
27,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Informe Mensual Contrapartes,Resumen De Las Operaciones Realizadas Con Las Distintas Contrapartes En Los Últimos Doce Meses,Xlsb,Informes / Informes De Riesgos De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver: \\FDNFS\Riesgos\SARM\Tickets vs Mercado,Maximo que determine la ley
28,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Indicador de Riesgo de Liquidez SFC,Cálculo Del Indicador De Riesgo De Liquidez Bajo El Modelo De La SFC,Xlsb,"Informes / Informes De Riesgos De Liquidez(1,2)",No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección de Riesgos Financieros,Dirección de Riesgos Financieros,Fileserver: \\FDNFS\Riesgos\SARL\Riesgo de Liquidez\,Maximo que determine la ley
31,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",P&G Y RETORNOS PORTAFOLIOS FDN,"Retorno, Mes corrido, año corrido De Los Portafolios De Inversión",Xls,Informes / Informes De Riesgos De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Tickets vs Mercado\,Maximo que determine la ley
32,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelo provisiones,Documento donde se desarrolla el Cálculo De Provisiones de la FDN,Xlsm,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PROVISIONES,Maximo que determine la ley
33,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelo Provisiones Cuentas Por Cobrar,Calculo De Provisiones Bajo Niif 9 Para Cuentas Por Cobrar De estados financieros Consolidados,Xls,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\IFRS 9\CUENTAS POR COBRAR,Maximo que determine la ley
34,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelo Provisiones IFRS,Calculo De Provisiones Bajo NIIF9 Para Cartera De estados financieros Consolidados,Xls,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\IFRS 9\ACTIVOS- CREDITO,Maximo que determine la ley
35,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Monitoreo comunicaciones - Master Trader y Set FX,Soporte de la verificación del Protocolo De Cierre de Operaciones Negociadas OTC,Xlsb,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Control Comunicaciones,Maximo que determine la ley
36,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",IMPUGNACIÓN & OPFMs,"determina si las operaciones de Renta Fija y Divisas negociadas la interior de la FDN en los aplicativos Master Trader y SETFX están en condiciones de mercado, e identificar los insumos de valoración que deben ser impugnados. Se controla la variación de los precios limpios",Xlsb,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Validación Valoración\VALIDACIÓN VALORACIÓN\IMPUGNACIÓN & OPFMs\,Maximo que determine la ley
37,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Pricing Prima De Riesgo,Estimación De La Prima De Riesgo Para Un Nuevo Proyecto,Xls,Informes / Informes Consolidados De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\PRICING,Maximo que determine la ley
38,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Reporte 477,Revelación De Las Provisiones Individuales,Xls / txt,Informes / Informes De Transmisión,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\SUPER FINANCIERA\477,Maximo que determine la ley
39,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Reportes Centrales De Riesgo,Reportes De Datacrédito Y Transunion Respecto A Calificación Crediticia Clientes.,Xls,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver:  \\FDNFS\Riesgos\Riesgo Crédito\SARC\CENTRALES DE RIESGO - REPORTES,Maximo que determine la ley
40,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Plantilla cupos,Consumo Cupos De Inversión,Xlsm,Informes / Informes De Seguimiento Y Monitoreo,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Cupos de Tesoreria\CUPOS DIARIOS,Maximo que determine la ley
43,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Plantilla VaR,Modelo De Cálculo De VaR Regulatorio,Xlsb,Informes / Informes De Riesgos De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Validación Valoración\VALIDACIÓN VALORACIÓN,Maximo que determine la ley
44,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Herramienta de VaR Interno en Desarrollo,Modelo De Cálculo De Var Interno,Xlsm,Informes / Informes De Riesgos De Mercado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Modelo Interno de VaR\VaR KRD,Maximo que determine la ley
45,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Indicadores marco de apetito de riesgos,Indicadores marco de apetito de riesgos,Xls,Indicadores  / Indicadores De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\MAR,Maximo que determine la ley
46,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Politica de liquidez,Calculo colchon de liquidez,Xlsb,No Relacionado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARL\Política de Liquidez\,Maximo que determine la ley
47,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Liquidez Fondes dic 2022,Seguimiento anual a la liquidez de terceros,Xls,No Relacionado,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARL\Fondes\,Maximo que determine la ley
48,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Informe Consolidado de Riesgos Financieros,"Informes Consolidados De Riesgos (Var, Mercado, Cupos, Cartera, Entre Otros)",Xlsm,Informes / Informes Consolidados De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito",Fileserver: \\FDNFS\Riesgos\SARM\Cupos de Tesoreria\CUPOS DIARIOS\,Maximo que determine la ley
52,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Master Trader - Xw,Software para Control De Cupos De Contraparte Títulos De Deuda Pública,Software,No Aplica: Sistema De Información O Software,No,Español,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Bolsa de Valores de Colombia,oys-776,Maximo que determine la ley
53,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",F1000-141 formato 239 - APNR,Información sobre los activos ponderados por nivel de riesgo que alimentan el formato 239 y margen de solvencia,Docx / PDF,Informes/Informes De Transmisión,No,Español,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito","Dirección De Mercado, liquidez y Crédito","Fileserver :  \\FDNFS\Riesgos\Riesgo Crédito\SOLVENCIA
Pegaso:  https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=10435640&objAction=browse&sort=name&viewType=1",Maximo que determine la ley
54,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Planilla base de garantias,Seguimiento a la cobertura de garantias sobre la cartera,Xls /Docx /PDF,Informes/Informes De Seguimiento Y Monitoreo,No,Español,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección de Riesgo Mercado, Liquidez y credito","Director de Riesgo de Mercado, Liquidez y Credito",Fileserver / Pegaso,Maximo que determine la ley
55,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Proyectos 4G,Información de los clientes 4G a remitir a la SFC,Docx / PDF,Informes/Informes De Transmisión,No,Español,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección de Riesgo Mercado, Liquidez y credito","Director de Riesgo de Mercado, Liquidez y Credito",Fileserver: \\FDNFS\Riesgos\Riesgo Crédito\SARC\SUPER FINANCIERA\INFORMACIÓN 4G,Maximo que determine la ley
56,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Portal Web Transunion y Datacredito,Consulta Y Reporte Endeudamiento De Clientes Con Sistema Financiero,Software,No Aplica: Sistema De Información O Software,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Datacredito - Transunion,"https://stransfer.transunion.co/
https://www.datacredito.com.co/",Maximo que determine la ley
57,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelos Rating Constructor,Cálculo De Rating De Cliente y/o Parte Relacionada,Xlsm/Xlsb,Registros Rating Del Cliente,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Gerencia de Credito,Fileserver: https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=1160579&objAction=browse&viewType=1,Maximo que determine la ley
58,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelos Rating Corporativo,Cálculo De Rating De Cliente y/o Parte Relacionada,Xlsm/Xlsb,Registros Rating Del Cliente,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Gerencia de Credito,Fileserver: https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=1160579&objAction=browse&viewType=1,Maximo que determine la ley
59,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelos Rating Energías Renovables,Cálculo De Rating De Proyecto,Xlsm/Xlsb,Registros Rating Del Cliente,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Gerencia de Credito,Fileserver: https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=1160579&objAction=browse&viewType=1,Maximo que determine la ley
60,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelos Rating Project Finance App,Cálculo De Rating De Proyecto,Xlsm/Xlsb,Registros Rating Del Cliente,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Gerencia de Credito,Fileserver: https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=1160579&objAction=browse&viewType=1,Maximo que determine la ley
61,VP Credito y Riesgos,"Dirección de Riesgo de Mercado, Liquidez y Crédito",Modelos Rating Project Finance Ip,Cálculo De Rating De Proyecto,Xlsm/Xlsb,Registros Rating Del Cliente,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,"Dirección De Mercado, liquidez y Crédito",Gerencia de Credito,Fileserver: https://pegaso.fdn.com.co/OTCS/llisapi.dll?func=ll&objId=1160579&objAction=browse&viewType=1,Maximo que determine la ley
